Prob,Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,SL,TP,sl,tp,rsi_entry,rsi_exit,bb_std,exposure
0.5227,2013-08-07 05:15:00,2013-08-07 05:19:00,1.32666,1.32671,71379.50594378533,3.568975,1581.8412312202345,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5161,2013-08-07 08:32:00,2013-08-07 08:36:00,1.32949,1.32938,71388.63313993641,-7.85275,1573.9884815748376,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5227,2013-08-07 12:16:00,2013-08-07 12:17:00,1.33184,1.33167,70908.89963846277,-12.054513,1561.9339686362987,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.563,2013-08-07 17:31:00,2013-08-07 17:33:00,1.33335,1.33339,70286.15001175828,2.811446,1564.7454146367718,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5129,2013-08-07 20:03:00,2013-08-07 20:05:00,1.33329,1.33312,70415.83217320035,-11.970691,1552.7747231673275,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5217,2013-08-07 21:04:00,2013-08-07 21:06:00,1.33321,1.33337,69881.326565237,11.181012,1563.9557354177612,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.517,2013-08-08 13:34:00,2013-08-08 13:35:00,1.33888,1.3389,70086.44846817166,1.401729,1565.3574643871182,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5161,2013-08-08 14:15:00,2013-08-08 14:18:00,1.33811,1.33831,70189.6315424196,14.037926,1579.3953906956162,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5435,2013-08-08 15:33:00,2013-08-08 15:35:00,1.33808,1.33809,70820.67099256918,0.708207,1580.1035974055467,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5754,2013-08-08 16:57:00,2013-08-08 17:00:00,1.33796,1.33809,70858.78191002182,9.211642,1589.3152390538469,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5269,2013-08-09 02:47:00,2013-08-09 02:49:00,1.33805,1.33799,71267.07846734488,-4.276025,1585.0392143458098,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5589,2013-08-09 07:57:00,2013-08-09 08:00:00,1.33692,1.33669,71135.410391608,-16.361144,1568.6780699557276,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.6128,2013-08-09 10:18:00,2013-08-09 10:19:00,1.3354,1.3353,70481.26718387273,-7.048127,1561.629943237341,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5975,2013-08-09 14:27:00,2013-08-09 14:28:00,1.33388,1.33378,70244.54718133599,-7.024455,1554.6054885192082,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5361,2013-08-09 14:29:00,2013-08-09 14:32:00,1.33388,1.33399,69928.57626709486,7.692143,1562.2976319085924,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5744,2013-08-11 17:00:00,2013-08-11 17:02:00,1.33216,1.33248,70365.31491301011,22.516901,1584.8145326807626,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.6182,2013-08-11 19:28:00,2013-08-11 19:30:00,1.33342,1.33342,71312.01868941949,0.0,1584.8145326807626,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5242,2013-08-11 19:32:00,2013-08-11 19:33:00,1.33341,1.33331,71312.55349880813,-7.131255,1577.6832773308824,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5212,2013-08-11 19:34:00,2013-08-11 19:39:00,1.33334,1.33332,70995.39250292719,-1.419908,1576.2633694808303,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5192,2013-08-11 19:40:00,2013-08-11 19:42:00,1.33332,1.33343,70932.56095224687,7.802582,1584.0659511855656,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
